,dteday,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,StandardizedTemp,StandardizedHumidity,StandardizedWindspeed,LogCasual,TempCategory,season_orig,Season_1,Season_2,Season_3,Season_4,fakeNaNvals,WindspeedImputed,HolidayUsage,InteractionTerm,WindSpeedCategory,WeekdayEncoded
12,2011-01-13,0,1,0,4,1,1,0.1319187187226103,0.09426478263289377,0.470417,0.30100000000000005,38,1368,1406,-1.8048783974257545,-1.1056523442385509,1.4260235461957396,3.6375861597263857,11-20,1,1,0,0,0,1,0.30100000000000005,0,0.06205680790533417,High,590.9615384615385
13,2011-01-14,0,1,0,5,1,1,0.12677253598153657,0.1435279743521621,0.537826,0.126548,54,1367,1421,-1.8274404161403894,-0.6323712359473008,-0.8250318501077258,3.9889840465642745,11-20,1,1,0,0,0,1,0.126548,0,0.06818156593680588,Low,752.2884615384615
14,2011-01-15,0,1,0,6,0,2,0.21706499117921849,0.22189097148641734,0.49875,0.157963,222,1026,1248,-1.4315780524312853,-0.906725292343166,-0.4196658739373561,5.402677381872279,21-30,1,1,0,0,0,1,0.157963,0,0.10826116435063522,Medium,1465.2571428571428
15,2011-01-16,0,1,0,0,0,1,0.21498907339553117,0.20365190809874795,0.48375,0.18843300000000002,251,953,1204,-1.4406793413365109,-1.0120408529414355,-0.026493781181947007,5.5254529391317835,21-30,1,1,0,0,0,1,0.18843300000000002,0,0.1040009642550882,Medium,1338.2952380952381
16,2011-01-17,0,1,1,1,0,2,0.1454171685129376,0.1282462776296542,0.5375,0.194017,117,883,1000,-1.7456981677076815,-0.6346600941309702,0.04555981139915552,4.762173934797756,11-20,1,1,0,0,0,1,0.194017,117,0.07816172807570396,Medium,674.1333333333333
17,2011-01-18,0,1,0,2,1,2,0.1962983370478057,0.20117890375025071,0.861667,0.14677500000000002,9,674,683,-1.5226237192347012,1.6413285280329772,-0.5640311307062272,2.1972245773362196,11-20,1,1,0,0,0,1,0.14677500000000002,0,0.16914379918897157,Low,556.1826923076923
18,2011-01-19,0,1,0,3,1,2,0.290383765674986,0.28792963856332626,0.741739,0.208317,78,1572,1650,-1.110132109770791,0.7993095579376938,0.23008101016523194,4.356708826689592,21-30,1,1,0,0,0,1,0.208317,0,0.21538896396799848,Medium,551.1442307692307
19,2011-01-20,0,1,0,4,1,2,0.25237054609098203,0.23099803314770923,0.5383330000000001,0.195904,83,1844,1927,-1.2767905855401305,-0.6288115699990791,0.06990886748807762,4.418840607796598,21-30,1,1,0,0,0,1,0.195904,0,0.13585939318879664,Medium,590.9615384615385
20,2011-01-21,0,1,0,5,1,1,0.14749433234571482,0.10338759591423978,0.457083,0.353242,75,1468,1543,-1.7365914158439293,-1.199270856573039,2.100132389967582,4.31748811353631,11-20,1,1,0,0,0,1,0.353242,0,0.06741715191157636,High,752.2884615384615
21,2011-01-22,0,1,0,6,0,1,0.0,0.0,0.4,0.17197,93,888,981,-2.383239631447771,-1.60005273294844,-0.2389254242089341,4.532599493153256,,1,1,0,0,0,1,0.17197,0,0.0,Medium,1465.2571428571428
22,2011-01-23,0,1,0,0,0,1,0.04659139533324711,0.02595013772166467,0.436522,0.2466,150,836,986,-2.178972510294131,-1.3436304060037734,0.7240687760646516,5.0106352940962555,0-10,1,1,0,0,0,1,0.2466,0,0.020338169073659696,High,1338.2952380952381
23,2011-01-24,0,1,0,1,1,1,0.04767495962177924,0.05100952132926874,0.49173900000000004,0.15833,86,1330,1416,-2.1742219215594463,-0.9559497853667971,-0.41493025995503785,4.454347296253507,0-10,1,1,0,0,0,1,0.15833,0,0.023443636969454104,Medium,674.1333333333333
24,2011-01-25,0,1,0,2,1,2,0.2047851773987629,0.2040575123151416,0.616957,0.129796,186,1799,1985,-1.4854155087103964,-0.07678952756719053,-0.7831210211851932,5.225746673713202,21-30,1,1,0,0,0,1,0.129796,0,0.12634364869240855,Low,556.1826923076923
25,2011-01-26,0,1,0,3,1,3,0.19733629593964935,0.16346296216565873,0.8625,0.29385,34,472,506,-1.5180730747820885,1.6471770521648683,1.3337629468127008,3.5263605246161616,11-20,1,1,0,0,0,1,0.29385,0,0.17020255524794758,High,551.1442307692307
26,2011-01-27,0,1,0,4,1,1,0.1693001914180612,0.18459638573827317,0.6875,0.113837,15,416,431,-1.640989641629374,0.41849551185172446,-0.9890492597242011,2.70805020110221,11-20,1,1,0,0,0,1,0.113837,0,0.11639388159991708,Low,590.9615384615385
27,2011-01-28,0,1,0,5,1,2,0.17986419560179562,0.18934418654958657,0.7930430000000002,0.1233,38,1129,1167,-1.594674679241317,1.1595168593332692,-0.8669426790302582,3.6375861597263857,11-20,1,1,0,0,0,1,0.1233,0,0.14264004127263483,Low,752.2884615384615
28,2011-01-29,0,1,0,6,0,1,0.17119667813281045,0.17465448821411284,0.6517389999999998,0.145365,123,975,1098,-1.6326750187519705,0.16741619434807575,-0.5822251789761693,4.812184355372417,11-20,1,1,0,0,0,1,0.145365,0,0.11157555180959972,Low,1465.2571428571428
29,2011-01-30,0,1,0,0,0,1,0.19611765992977767,0.2247918948463849,0.722174,0.0739826,140,956,1096,-1.5234158482210505,0.661942961730684,-1.5033137117593558,4.941642422609304,11-20,1,1,0,0,0,1,0.0739826,0,0.14163107494212726,Low,1338.2952380952381
30,2011-01-31,0,1,0,1,1,2,0.15164741396217943,0.1406887448374065,0.60375,0.187192,42,1459,1501,-1.7183833750749515,-0.16951636815527996,-0.0425071243755627,3.7376696182833684,11-20,1,1,0,0,0,1,0.187192,0,0.09155712617966583,Medium,674.1333333333333
31,2011-02-01,0,2,0,2,1,2,0.16577885669014975,0.20406276285515965,0.8295650000000001,0.053213,47,1313,1360,-1.6564279624253928,1.4159391862779351,-1.771315913849698,3.8501476017100584,11-20,1,1,0,0,0,1,0.053213,0,0.13752433725016408,Low,556.1826923076923
32,2011-02-02,0,2,0,3,1,2,0.25029338225820486,0.23016713518985427,0.775417,0.264308,72,1454,1526,-1.2858973374038825,1.0357640545929283,0.9525653766065869,4.276666119016055,21-30,1,1,0,0,0,1,0.264308,0,0.19408174359051045,High,551.1442307692307
33,2011-02-03,0,2,0,4,1,1,0.15927821858841082,0.129699364579647,0.43782600000000005,0.277752,61,1489,1550,-1.6849282170583835,-1.334474973269097,1.1260411106073653,4.110873864173311,11-20,1,1,0,0,0,1,0.277752,0,0.06973614533168956,High,590.9615384615385
34,2011-02-04,0,2,0,5,1,2,0.1896157757789489,0.19626177302335548,0.585217,0.127839,88,1620,1708,-1.5519215658125678,-0.2996372537931286,-0.8083733278974456,4.477336814478207,11-20,1,1,0,0,0,1,0.127839,0,0.11096637545402913,Low,752.2884615384615
35,2011-02-05,0,2,0,6,0,2,0.21706499117921849,0.21525691417362272,0.9291670000000001,0.161079,100,905,1005,-1.4315780524312853,2.1152485507251906,-0.379458317618818,4.605170185988092,21-30,1,1,0,0,0,1,0.161079,0,0.20168962665902093,Medium,1465.2571428571428
36,2011-02-06,0,2,0,0,0,1,0.28248256839625757,0.2790680396478778,0.568333,0.1418,354,1269,1623,-1.1447727297876193,-0.4181804488025408,-0.6282264428643553,5.869296913133774,21-30,1,1,0,0,0,1,0.1418,0,0.16054416554435025,Low,1338.2952380952381
37,2011-02-07,0,2,0,1,1,1,0.26483103698946564,0.29480259544694165,0.7383330000000001,0.0454083,120,1592,1712,-1.2221610002746703,0.775395904644514,-1.872024487276943,4.787491742782046,21-30,1,1,0,0,0,1,0.0454083,0,0.19553349403354317,Low,674.1333333333333
38,2011-02-08,0,2,0,2,1,1,0.20148937755611393,0.15643511435151106,0.537917,0.36195,64,1466,1530,-1.4998650340131106,-0.6317323215463384,2.212496767509889,4.1588830833596715,21-30,1,1,0,0,0,1,0.36195,0,0.10838456150685213,High,556.1826923076923
39,2011-02-09,0,2,0,3,1,2,0.09426685337466227,0.08560139160312635,0.494783,0.188839,53,1552,1605,-1.9699526152223956,-0.934577747602722,-0.021254927566630565,3.970291913552122,0-10,1,1,0,0,0,1,0.188839,0,0.04664163651327552,Medium,551.1442307692307
40,2011-02-10,0,2,0,4,1,1,0.10618531291906191,0.09251241490187263,0.43739100000000003,0.221935,47,1491,1538,-1.917699416915983,-1.337529124526447,0.40580196714400296,3.8501476017100584,11-20,1,1,0,0,0,1,0.221935,0,0.046444500202981416,High,590.9615384615385
41,2011-02-11,0,2,0,5,1,1,0.16193728734614724,0.17646986242535043,0.506364,0.10855,149,1597,1746,-1.6732702635627343,-0.8532671137834843,-1.0572704889463163,5.003946305945459,11-20,1,1,0,0,0,1,0.10855,0,0.0819992125697445,Low,752.2884615384615
42,2011-02-12,0,2,0,6,0,1,0.2035665413888912,0.20199405008805152,0.544167,0.203367,288,1184,1472,-1.4907582821493583,-0.5878508379637263,0.16620828751543615,5.662960480135946,21-30,1,1,0,0,0,1,0.203367,0,0.11077419412796874,Medium,1465.2571428571428
43,2011-02-13,0,2,0,0,0,1,0.3207225689146141,0.3216525444641981,0.457391,0.260883,397,1192,1589,-0.9771199955664481,-1.197108377062088,0.9083706139650615,5.983936280687191,31-40,1,1,0,0,0,1,0.260883,0,0.14669561651842425,High,1338.2952380952381
44,2011-02-14,0,2,0,1,1,1,0.4434309911847011,0.41909862929402286,0.37583300000000003,0.417908,208,1705,1913,-0.4391387657892497,-1.7697301431469985,2.934555315800246,5.337538079701318,41-50,1,1,0,0,0,1,0.417908,0,0.1666559997099198,High,674.1333333333333
45,2011-02-15,0,2,0,2,1,1,0.25787808306811183,0.2299794283842093,0.314348,0.291374,140,1675,1815,-1.252644308852797,-2.201418626039305,1.30181368190747,4.941642422609304,21-30,1,1,0,0,0,1,0.291374,0,0.08106345965629483,High,556.1826923076923
46,2011-02-16,0,2,0,3,1,1,0.3228894482818603,0.3112656636735088,0.423478,0.251791,218,1897,2115,-0.9676199106887851,-1.4352128175000285,0.7910512615747703,5.384495062789089,31-40,1,1,0,0,0,1,0.251791,0,0.13673657777950562,High,551.1442307692307
47,2011-02-17,0,2,0,4,1,1,0.46938993187351213,0.4588819710107184,0.505,0.230104,259,2216,2475,-0.32532895080571606,-0.8628438087605539,0.5112113148866658,5.556828061699537,41-50,1,1,0,0,0,1,0.230104,0,0.23704191559612364,High,590.9615384615385
48,2011-02-18,0,2,0,5,1,1,0.5763433094515565,0.568257282761532,0.516667,0.264925,579,2348,2927,0.14357863136183502,-0.78092936572722,0.9605268856722285,6.361302477572996,51-75,1,1,0,0,0,1,0.264925,0,0.29777756866440735,High,752.2884615384615
49,2011-02-19,0,2,0,6,0,1,0.42370229594513203,0.4099810665526949,0.187917,0.507463,532,1103,1635,-0.5256337881400525,-3.0890954021726253,4.090135452548215,6.2766434893416445,41-50,1,1,0,0,0,1,0.507463,0,0.07962086434712137,High,1465.2571428571428
50,2011-02-20,0,2,0,0,0,1,0.281715002156911,0.2602435410481968,0.407826,0.223235,639,1173,1812,-1.1481379122399717,-1.545106094465636,0.42257662157728254,6.459904454377535,21-30,1,1,0,0,0,1,0.223235,0,0.11489070246964438,High,1338.2952380952381
51,2011-02-21,0,2,1,1,0,2,0.30428842746860396,0.2690972641536182,0.605,0.307846,195,912,1107,-1.049170955573064,-0.16074007143875768,1.5143614571574564,5.272999558563747,31-40,1,1,0,0,0,1,0.307846,195,0.18409449861850538,High,674.1333333333333
52,2011-02-22,0,2,0,2,1,1,0.1533781761479788,0.1404039030414278,0.577778,0.195683,74,1376,1450,-1.710795325681579,-0.35186675081249685,0.06705717623442008,4.30406509320417,11-20,1,1,0,0,0,1,0.195683,0,0.0886185358584269,Medium,556.1826923076923
53,2011-02-23,0,2,0,3,1,1,0.20261829803151657,0.21874721065061542,0.423043,0.094113,139,1778,1917,-1.49491559358806,-1.4382669687573786,-1.2435594782180535,4.9344739331306915,21-30,1,1,0,0,0,1,0.094113,0,0.08571625265414687,Low,551.1442307692307
54,2011-02-24,0,2,0,4,1,2,0.2947175244094787,0.2758127048366924,0.697391,0.250496,100,1707,1807,-1.0911319400154638,0.4879405925102232,0.7743411250431572,4.605170185988092,21-30,1,1,0,0,0,1,0.250496,0,0.20553334906545073,High,590.9615384615385
55,2011-02-25,0,2,0,5,1,2,0.38031611268570187,0.3562378515630333,0.712174,0.346539,120,1341,1461,-0.7158485410758584,0.5917325879985043,2.0136396909935255,4.787491742782046,31-40,1,1,0,0,0,1,0.346539,0,0.27085124723582704,High,752.2884615384615
56,2011-02-26,0,2,0,6,0,1,0.27832948677979297,0.2666255724401254,0.537917,0.186571,424,1545,1969,-1.1629807705565973,-0.6317323215463384,-0.0505202477625372,6.049733455231958,21-30,1,1,0,0,0,1,0.186571,0,0.14971816254012588,Medium,1465.2571428571428
57,2011-02-27,0,2,0,0,0,1,0.3543110681805665,0.35708843904595583,0.68,0.125248,694,1708,2402,-0.8298604855248738,0.36583773155259003,-0.8418065045410055,6.542471960506805,31-40,1,1,0,0,0,1,0.125248,0,0.24093152636278525,Low,1338.2952380952381
58,2011-02-28,0,2,0,1,1,2,0.4338027698674428,0.42141936798199686,0.8763640000000001,0.289686,81,1365,1446,-0.48135104632387066,1.744516714307163,1.2800324383048727,4.394449154672439,41-50,1,1,0,0,0,1,0.289686,0,0.3801691306121117,High,674.1333333333333
59,2011-03-01,0,3,0,2,1,1,0.25860079154022386,0.24258728760252987,0.535,0.216425,137,1714,1851,-1.2494757929074003,-0.6522126875640147,0.3347032395075639,4.919980925828125,21-30,1,1,0,0,0,1,0.216425,0,0.13835142347401977,High,556.1826923076923
60,2011-03-02,0,3,0,3,1,1,0.34374706399683214,0.3163468737759678,0.449583,0.307833,231,1903,2134,-0.8761754479129308,-1.2519286368721738,1.5141937106131238,5.442417710521793,31-40,1,1,0,0,0,1,0.307833,0,0.15454283627288778,High,551.1442307692307
61,2011-03-03,0,3,0,4,1,1,0.1734532730345258,0.15891205660502183,0.31833300000000003,0.22575399999999998,123,1562,1685,-1.6227816008603961,-2.173439792107031,0.45508074043684515,4.812184355372417,11-20,1,1,0,0,0,1,0.22575399999999998,0,0.055215900764899704,High,590.9615384615385
62,2011-03-04,0,3,0,5,1,2,0.25237054609098203,0.23182368056554611,0.610417,0.203346,214,1730,1944,-1.2767905855401305,-0.12270711198803594,0.16593731232843711,5.365976015021851,21-30,1,1,0,0,0,1,0.203346,0,0.15405127163321897,Medium,752.2884615384615
63,2011-03-05,0,3,0,6,0,2,0.4050115595974066,0.3934090496207534,0.789167,0.251871,640,1437,2077,-0.6075781660382428,1.1323033184746747,0.792083548001434,6.461468176353717,41-50,1,1,0,0,0,1,0.251871,0,0.3196217574528065,High,1465.2571428571428
64,2011-03-06,0,3,0,0,0,2,0.3954855143055159,0.37696567091925404,0.948261,0.343287,114,491,605,-0.649342483973687,2.249308238329414,1.97167724774966,4.736198448394496,31-40,1,1,0,0,0,1,0.343287,0,0.3750234892808628,High,1338.2952380952381
65,2011-03-07,0,3,0,1,1,1,0.2524602616254511,0.20922273105788933,0.551304,0.341352,244,1628,1872,-1.2763972525262193,-0.5377416942310692,1.9467088198047398,5.497168225293202,21-30,1,1,0,0,0,1,0.341352,0,0.1391823520751577,High,674.1333333333333
66,2011-03-08,0,3,0,2,1,1,0.29078997767827663,0.2931513006112678,0.420833,0.12064999999999998,316,1817,2133,-1.108351185291137,-1.45378346135219,-0.9011371669134826,5.755742213586912,21-30,1,1,0,0,0,1,0.12064999999999998,0,0.1223740186762822,Low,556.1826923076923
67,2011-03-09,0,3,0,3,1,2,0.29494305929474124,0.2724221686200425,0.775417,0.22015,191,1700,1891,-1.090143144522159,1.0357640545929283,0.3827690762490769,5.25227342804663,21-30,1,1,0,0,0,1,0.22015,0,0.22870386220915037,High,551.1442307692307
68,2011-03-10,0,3,0,4,1,3,0.41114710531581994,0.4024517921668244,0.0,0.261877,46,577,623,-0.5806785582535301,-4.408467682235625,0.9211967728163545,3.828641396489095,41-50,1,1,0,0,0,1,0.261877,0,0.0,High,590.9615384615385
69,2011-03-11,0,3,0,5,1,2,0.3207225689146141,0.2965641516229944,0.649565,0.23297,247,1730,1977,-0.9771199955664481,0.15215245909870062,0.548192976121881,5.5093883366279774,31-40,1,1,0,0,0,1,0.23297,0,0.20833015547702127,High,752.2884615384615
70,2011-03-12,0,3,0,6,0,1,0.33647885965574653,0.3238013279665813,0.594583,0.22077500000000003,724,1408,2132,-0.9080408849982742,-0.23387821775556927,0.3908338139573846,6.584791392385716,31-40,1,1,0,0,0,1,0.22077500000000003,0,0.20006460981069274,High,1465.2571428571428
71,2011-03-13,0,3,0,0,0,1,0.4052370944826691,0.3951312267466709,0.527391,0.270604,982,1435,2417,-0.6065893705449381,-0.7056357609368301,1.033806318384994,6.889591308354466,41-50,1,1,0,0,0,1,0.270604,0,0.21371839649630936,High,1338.2952380952381
72,2011-03-14,0,3,0,1,1,1,0.3315569657508455,0.3320052967447702,0.49695700000000004,0.136926,359,1687,2046,-0.929619571178131,-0.9193140123533458,-0.6911184934088209,5.883322388488279,31-40,1,1,0,0,0,1,0.136926,0,0.16476955502864293,Low,674.1333333333333
73,2011-03-15,0,3,0,2,1,2,0.3218053855736922,0.31386205571243003,0.655652,0.184309,289,1767,2056,-0.9723726846068801,0.1948895135894788,-0.07970814647644363,5.666426688112432,31-40,1,1,0,0,0,1,0.184309,0,0.21099234466216243,Medium,556.1826923076923
74,2011-03-16,0,3,0,3,1,2,0.38139892934478,0.37785563745231193,0.776522,0.203117,321,1871,2192,-0.7111012301162903,1.0435223008903343,0.16298239243211313,5.771441123130016,31-40,1,1,0,0,0,1,0.203117,0,0.29616465941266723,Medium,551.1442307692307
75,2011-03-17,0,3,0,4,1,1,0.4434309911847011,0.43482793455306873,0.602917,0.209579,424,2320,2744,-0.4391387657892497,-0.1753648922871703,0.2463653285458463,6.049733455231958,41-50,1,1,0,0,0,1,0.209579,0,0.26735208291210644,Medium,590.9615384615385
76,2011-03-18,0,3,0,5,1,1,0.5991871274157465,0.5879809363393024,0.525217,0.231017,884,2355,3239,0.24373105002900297,-0.7208994961862061,0.5229922837309614,6.784457062637643,51-75,1,1,0,0,0,1,0.231017,0,0.3147032654999162,High,752.2884615384615
77,2011-03-19,0,3,0,6,0,1,0.5150788138509821,0.5085875207265067,0.379167,0.368167,1424,1693,3117,-0.12501865051285305,-1.74632200454469,2.2927183264419666,7.261225091971921,51-75,1,1,0,0,0,1,0.368167,0,0.19530088861143532,High,1465.2571428571428
78,2011-03-20,0,3,0,0,0,1,0.34063194127221114,0.3238013279665813,0.47375,0.207721,1047,1424,2471,-0.8898328442292962,-1.0822512266736153,0.2223904762865897,6.953684210870537,31-40,1,1,0,0,0,1,0.207721,0,0.16137438217771002,Medium,1338.2952380952381
79,2011-03-21,0,3,0,1,1,2,0.4626637588865107,0.4340429788203717,0.7373910000000001,0.288783,401,1676,2077,-0.35481800093201143,0.7687820874389427,1.26838050526391,5.993961427306569,41-50,2,0,1,0,0,2,0.288783,0,0.3411640918290831,High,674.1333333333333
80,2011-03-22,0,3,0,2,1,1,0.4766593822636875,0.4746125889047688,0.624583,0.22574999999999998,460,2243,2703,-0.29345805076184656,-0.023247096559030185,0.45502912611551194,6.131226489483141,41-50,2,0,1,0,0,2,0.22574999999999998,0,0.2977133469524007,High,556.1826923076923
81,2011-03-23,0,3,0,3,1,2,0.358646072964149,0.3398010360365563,0.839565,0.234261,203,1918,2121,-0.81085485281102,1.486149560010114,0.5648514983321609,5.313205979041787,31-40,2,0,1,0,0,2,0.234261,0,0.3011066902481458,High,551.1442307692307
82,2011-03-24,0,3,0,4,1,2,0.2814446095044139,0.2517153514238939,0.8058330000000001,0.24378700000000003,166,1699,1865,-1.149323374240232,1.2493159273367267,0.6877710045871013,5.111987788356544,21-30,2,0,1,0,0,2,0.24378700000000003,0,0.22679735401077042,High,590.9615384615385
83,2011-03-25,0,3,0,5,1,1,0.2554856688156029,0.23265457852340107,0.495,0.230725,300,1910,2210,-1.2631331892237654,-0.9330541824927335,0.5192244382736403,5.703782474656201,21-30,2,0,1,0,0,2,0.230725,0,0.12646540606372345,High,752.2884615384615
84,2011-03-26,0,3,0,6,0,1,0.2575615865992903,0.23430718599407946,0.394167,0.209571,981,1515,2496,-1.2540319003185398,-1.6410064439464205,0.24626209990318024,6.8885724595653635,21-30,2,0,1,0,0,2,0.209571,0,0.10152227790508245,Medium,1465.2571428571428
85,2011-03-27,0,3,0,0,0,2,0.24162461874012975,0.22481420964146157,0.493913,0.18430000000000002,472,1221,1693,-1.3239031398730634,-0.9406860501174216,-0.07982427869944302,6.156978985585555,21-30,2,0,1,0,0,2,0.18430000000000002,0,0.1193415403157937,Medium,1338.2952380952381
86,2011-03-28,0,3,0,1,1,1,0.25571120370086553,0.23431112389909303,0.302174,0.212204,222,1806,2028,-1.2621443937304604,-2.2868927350208605,0.28023722692073816,5.402677381872279,21-30,2,0,1,0,0,2,0.212204,0,0.07726927726710534,Medium,674.1333333333333
87,2011-03-29,0,3,0,2,1,1,0.30325046857676025,0.2806917691484569,0.314167,0.226996,317,2108,2425,-1.0537216000256768,-2.2026894338038576,0.47110698721079414,5.75890177387728,31-40,2,0,1,0,0,2,0.226996,0,0.09527128996135503,High,556.1826923076923
88,2011-03-30,0,3,0,3,1,2,0.30013534585213936,0.28652249383849127,0.6466670000000001,0.172888,168,1368,1536,-1.0673789963420417,0.13180549279111606,-0.22707993746297234,5.123963979403259,31-40,2,0,1,0,0,2,0.172888,0,0.19408762369616545,Medium,551.1442307692307
89,2011-03-31,0,3,0,4,1,3,0.26067670932391124,0.2343124365340975,0.918333,0.21764599999999998,179,1506,1685,-1.2403745040021745,2.0391826318237465,0.35045851109451315,5.187385805840755,21-30,2,0,1,0,0,2,0.21764599999999998,0,0.23938802450355537,High,590.9615384615385
90,2011-04-01,0,4,0,5,1,2,0.30013534585213936,0.2682821178158173,0.68625,0.258708,307,1920,2227,-1.0673789963420417,0.40971921513520215,0.8803053267401515,5.726847747587197,31-40,2,0,1,0,0,2,0.258708,0,0.20596788109103065,High,752.2884615384615
91,2011-04-02,0,4,0,6,0,2,0.31882608219986486,0.31052665016596953,0.65375,0.197146,898,1354,2252,-0.9854346184438513,0.18153550050561854,0.08593511426202625,6.8001700683022,31-40,2,0,1,0,0,2,0.197146,0,0.20843255123816168,Medium,1465.2571428571428
92,2011-04-03,0,4,0,0,0,1,0.3977421092072312,0.3933932980006994,0.48,0.182213,1651,1598,3249,-0.6394490660821125,-1.038369743091003,-0.1067540508550236,7.409136443920128,31-40,2,0,1,0,0,2,0.182213,0,0.19091621241947096,Medium,1338.2952380952381
93,2011-04-04,0,4,0,1,1,1,0.6407216817276621,0.608878085611105,0.42625,0.385571,734,2381,3115,0.42582784659436174,-1.4157505019014684,2.517292238562581,6.598509028614515,51-75,2,0,1,0,0,2,0.385571,0,0.273107616836416,High,674.1333333333333
94,2011-04-05,0,4,0,2,1,2,0.4423930322928575,0.41909862929402286,0.642083,0.38806700000000005,167,1628,1795,-0.44368941024186215,0.09962105747228389,2.5494995750744787,5.117993812416755,41-50,2,0,1,0,0,2,0.38806700000000005,0,0.2840530453536948,High,556.1826923076923
95,2011-04-06,0,4,0,3,1,1,0.4133177228303357,0.4049983040755741,0.470833,0.263063,413,2395,2808,-0.5711620845002874,-1.102731592691292,0.9365004190916384,6.023447592961033,41-50,2,0,1,0,0,2,0.263063,0,0.19460362339337545,High,551.1442307692307
96,2011-04-07,0,4,0,4,1,1,0.47146709570628925,0.4654950261634409,0.602917,0.162312,571,2570,3141,-0.3162221989419643,-0.1753648922871703,-0.3635482030678687,6.3473892096560105,41-50,2,0,1,0,0,2,0.162312,0,0.28425552694194883,Medium,590.9615384615385
97,2011-04-08,0,4,0,5,1,2,0.3447850228886758,0.32213296887584886,0.83625,0.226992,172,1299,1471,-0.8716248034603181,1.4628748211178968,0.4710553728894609,5.147494476813453,31-40,2,0,1,0,0,2,0.226992,0,0.28832647539065515,High,752.2884615384615
98,2011-04-09,0,4,0,6,0,2,0.35309243217069486,0.344513395702748,0.8775,0.133083,879,1576,2455,-0.8352032589638356,1.752492612763137,-0.7407069526296621,6.778784897685177,31-40,2,0,1,0,0,2,0.133083,0,0.30983860922978473,Low,1465.2571428571428
